Top_20_metropolitan_areas,Percent_employed_in_manufacturing_sector
Grand_Rapids-Wyoming_MI,22
Wichita_KS,18.4
Greensboro-High_Point_NC,16.9
Toledo_OH,16.4
Greenville-Anderson-Mauldin_SC,15.8
Milwaukee-Waukesha-West_Allis_WI,14.2
Dayton_OH,13.6
Akron_OH,13.3
Detroit-Warren-Dearborn_MI,13.3
Louisville/Jefferson_County_KY-IN,13
Cleveland-Elyria_OH,12.8
Tulsa_OK,12.1
Worcester_MA-CT,11.9
Rochester_NY,11.9
Hartford-West_Hartford-East_Hartford_CT,11.8
Cincinnati_OH-KY-IN,11.1
Madison_WI,11
Portland-Vancouver-Hillsboro_OR-WA,10.8
Allentown-Bethlehem-Easton_PA-NJ,10.8
Buffalo-Cheektowaga-Niagara_Falls_NY,10.6
Minneapolis-St._Paul-Bloomington_MN-WI,10.6
