basketball_team,Concession_stand_price_in_U.S._dollars
Miami_Heat,7.0
New_York_Knicks,6.5
Chicago_Bulls,6.25
Houston_Rockets,6.0
Portland_Trail_Blazers,6.0
Brooklyn_Nets,6.0
Golden_State_Warriors,6.0
Los_Angeles_Clippers,6.0
Atlanta_Hawks,6.0
Los_Angeles_Lakers,5.75
Boston_Celtics,5.5
Toronto_Raptors,5.43
Indiana_Pacers,5.25
Philadelphia_76ers,5.25
Minnessota_Timberwolves,5.0
San_Antonio_Spurs,5.0
Milwaukee_Bucks,5.0
NBA_League_Average,4.96
Denver_Nuggets,4.75
Charlotte_Hornets,4.5
Detroit_Pistons,4.5
Orlando_Magic,4.25
Washington_Wizards,4.0
Memphis_Grizzlies,4.0
Sacramento_Kings,4.0
New_Orleans_Pelicans,4.0
Dallas_Mavericks,3.5
Oklahoma_City_Thunder,3.5
Phoenix_Suns,3.5
Utah_Jazz,3.5
Cleveland_Cavaliers,3.0
