Response,Share_of_enterprises
Decrease_in_demand_(less_customers_orders_etc.),72
We_need_to_shut_down_the_company_due_to_the_emergency_measures,35
The_ban_on_public_events_and_shortened_opening_times_hinder_our_business,21
The_enterprises_we_deliver_to_order_less,19
Import_substitution_is_necessary,10
Foreign_factories_and_customers_order_less,8
There_is_a_lack_of_workforce,6
Prices_in_the_sector_decreased_which_caused_a_decrease_in_profitability,6
The_virus_does_not_have_any_negative_effects,2
The_foreign_parent_company_reduced_its_orders,2
