newspaper,Circulation_in_thousands
Wall_Street_Journal,1064
New_York_Times,528
Washington_Post,330
Los_Angeles_Times,328
USA_Today,299
Chicago_Tribune,266
New_York_Post,245
New_York_Daily_News,228
Newsday,217
Minneapolis_Star-Tribune,184
Houston_Chronicle,169
Arizona_Republic,164
Denver_Post,156
Cleveland_Plain_Dealer,153
Tampa_Bay_Times,141
Dallas_Morning_News,140
Boston_Globe,140
Philadelphia_Inquirer,138
Chicago_Sun-Times,118
San_Diego_Union-Tribune,117
Newark_Star-Ledger,114
Orange_County_Register,110
Honolulu_Star-Advertiser,94
Atlanta_Journal-Constitution,92
Las_Vegas_Review-Journal,90
