Response,Percentage_of_respondents
I_am_less_likely_to_give_personal_info_on_websites,44
I_decided_to_only_visit_websites_I_know_and_trust,42
I_only_use_my_own_computer,42
I_started_opening_only_emails_from_people_I_know,41
I_started_using_different_passwords,37
I_have_installed_antivirus_software,36
I_have_changed_the_security_settings,32
I_started_changing_my_passwords_regularly,24
I_am_less_likely_to_bank_online,20
I_am_less_likely_to_buy_goods_or_services_online,19
None,9
I_cancelled_an_online_purchase,6
Don't_know,4
Other,1
