Sector,Value_in_billion_U.S._dollars
Banking_Insurance_&_Financial_Services,721.32
Chemicals_Petroleum_Rubber_&_Plastic,559.21
Computer_Software,552.26
Business_Services,280.52
Industrial_Electric_&_Electronic_Machinery,267.21
Mining_&_Extraction,264.88
Transport_Freight_&_Storage,198.21
Construction,194.61
Property_Services,172.42
Biotechnology_and_Life_Sciences,171.83
Utilities,163.21
Travel_Personal_&_Leisure,127.35
Communications,126.3
Retail,123.49
Media_&_Broadcasting,109.9
Transport_Manufacturing,107.32
Food_&_Tobacco_Manufacturing,88.76
Wholesale,83.02
Public_Administration_Education_Health_Social_Services,74.52
Metals_&_Metal_Products,73.85
