Year,Asian,White,Hispanic,Black
1976.0,nan,4.8,1.4,3.8
1977.0,nan,4.7,1.4,3.9
1978.0,nan,4.5,1.4,3.8
1979.0,nan,4.7,1.5,3.8
1980.0,nan,5.5,1.7,4.0
1981.0,nan,5.9,1.9,4.2
1982.0,nan,6.6,2.2,4.5
1983.0,nan,6.6,2.3,4.4
1984.0,nan,6.2,2.4,4.4
1985.0,nan,5.7,2.6,4.2
1986.0,nan,5.8,2.5,4.1
1987.0,0.5,5.2,2.7,4.4
1988.0,0.5,4.9,2.6,4.3
1989.0,0.4,5.1,2.6,4.4
1990.0,0.4,5.5,2.9,4.6
1991.0,0.4,5.9,3.1,4.8
1992.0,0.4,6.0,3.6,5.1
1993.0,0.4,6.3,3.9,5.1
1994.0,0.3,5.8,4.1,4.9
1995.0,0.6,5.1,4.1,4.8
1996.0,0.6,5.1,4.2,4.5
1997.0,0.6,5.2,4.0,4.2
1998.0,0.6,4.8,3.8,4.2
1999.0,0.4,4.2,3.7,3.8
2000.0,0.4,4.0,3.5,3.6
2001.0,0.4,4.2,3.6,3.5
2002.0,0.3,4.1,3.8,3.6
2003.0,0.3,4.2,4.1,3.9
2004.0,0.3,4.5,4.1,3.8
2005.0,0.3,4.3,4.1,3.8
2006.0,0.4,4.2,4.1,3.8
2007.0,0.4,4.3,4.5,3.9
2008.0,0.4,4.4,5.0,3.9
2009.0,0.5,4.9,5.6,4.0
2010.0,0.5,4.9,6.1,4.4
2011.0,0.5,4.9,6.0,4.3
2012.0,0.5,4.8,6.0,4.2
2013.0,0.4,4.1,5.4,4.2
2014.0,0.5,4.7,5.7,4.1
2015.0,0.5,4.6,5.3,3.7
2016.0,0.4,4.1,4.9,3.4
2017.0,0.4,3.8,4.6,3.4
2018.0,0.5,3.3,4.4,3.3
2019.0,0.3,3.0,3.9,2.9
