Response,Share_of_respondents
I_have_no_shopping_problems_from_my_mobile_device,68
I_like_that_I_can_shop_anywhere_from_my_mobile_phone,67
I_prefer_to_shop_on_my_laptop/desktop_computer,57
I_find_it_easier_to_shop_on_a_desktop/laptop_becuase_of_the_keyboard_and_larger_screen_size,57
I_never_make_purchases_online_or_from_a_retailer's_app_while_in_that_store,55
Sometimes_I_use_a_retailer's_app_on_my_phone_to_make_purchases_while_I_am_in_that_store,45
The_larger_keyboard_and_screen_size_on_a_desktop/laptop_computer_doesn't_matter_to_me,43
I_prefer_to_shop_on_my_mobile_device,43
It_doesn't_matter_to_me_that_I_can_use_my_mobile_device_here_when_shopping,33
Shopping_on_my_mobile_device_can_be_frustrating,32
