State,Number_of_cases_per_worker
Missouri,176
Iowa,167
Utah,166
Indiana,144
New_Hampshire,138
New_Mexico,128
Oregon,124
Massachusetts,120
Rhode_Island,114
Arizona,113
Nebraska,108
Illinois,101
West_Virginia,90
Louisiana,88
Kansas,88
Idaho,87
Washington,80
Nevada,75
Arkansas,74
National_average,72
Maine,71
Michigan,69
Tennessee,67
Minnesota,63
Hawaii,62
Vermont,61
Virginia,59
Alaska,59
Oklahoma,58
North_Carolina,57
Alabama,57
District_of_Columbia,56
Texas,53
Montana,53
Connecticut,50
Kentucky,49
South_Dakota,48
New_Jersey,45
Delaware,45
Mississippi,36
Puerto_Rico,22
