Month,Index_number_of_sales_per_week
Jun_20,59.1
May_20,35.7
Apr_20,32.3
Mar_20,56.0
Feb_20,88.5
Jan_20,113.0
Dec_19,105.2
Nov_19,98.1
Oct_19,85.1
Sep_19,82.0
Aug_19,80.6
Jul_19,79.0
Jun_19,80.0
May_19,77.8
Apr_19,81.3
Mar_19,93.7
Feb_19,77.0
Jan_19,86.4
Dec_18,92.3
Nov_18,90.5
Oct_18,91.5
Sep_18,95.4
Aug_18,95.6
Jul_18,94.6
Jun_18,91.0
May_18,96.5
Apr_18,102.0
Mar_18,94.8
Feb_18,93.2
Jan_18,93.3
Dec_17,91.8
Nov_17,95.0
Oct_17,102.1
Sep_17,94.3
Aug_17,97.4
Jul_17,98.0
Jun_17,98.4
May_17,91.1
Apr_17,94.0
Mar_17,83.9
Feb_17,93.9
Jan_17,96.3
Dec_16,97.3
Nov_16,97.9
Oct_16,98.3
Sep_16,97.1
Aug_16,94.0
July_16,98.4
June_16,97.4
May_16,105.2
April_16,102.9
Mar_16,102.6
Feb_16,106.3
Jan_16,104.1
