medical_specialty,Percent_change_in_compensation
Public_health_and_preventative_medicine,11
Allergy_and_immunology,9
Orthopedics,6
Oncology,5
Neurology,5
Internal_medicine,3
Pulmonary_medicine,3
Pathology,3
Psychiatry,3
Ophthalmology,3
Pediatrics,3
Infectious_diseases,3
Urology,2
Cardiology,2
Critical_care,2
Radiology,2
Obstetrics_and_gynacology,2
Plastic_surgery,2
Family_medicine,1
Anesthesiology,1
Rheumatology,1
Emergency_medicine,1
Physical_medicine_and_rehabilitation,1
General_surgery,1
Nephrology,1
Gastroenterology,0
Diabetes_and_endocrinology,0
Otolaryngology,-1
Dermatology,-2
