Month,Sales_in_billion_U.S._dollars
Jan._'12,2.77
Febr._'12,2.71
Mar._'12,2.83
Apr_'12,2.82
May_'12,2.84
Jun._'12,2.82
Jul._'12,2.82
Aug_'12,2.77
Sep_'12,2.79
Oct_'12,2.79
Nov_'12,2.8
Dec_'12,2.63
Jan_'13,2.65
Feb_'13,2.69
Mar_'13,2.84
Apr_'13,2.83
May_'13,2.84
Jun_'13,2.84
Jul_'13,2.85
Aug_'13,2.91
Sep_'13,2.98
Oct_'13,3.05
Nov_'13,3.08
Dec_'13,2.96
Jan_'14,2.95
Feb_'14,2.96
Mar_'14,3.08
Apr_'14,3.06
May_'14,3.13
Jun_'14,3.18
Jul_'!4,3.27
Aug_'14,3.22
Sep_'14,3.21
Oct_'14,3.21
Nov_'14,3.19
Dec_'14,3.01
Jan_'15,2.95
Feb_'15,2.88
Mar_'15,2.96
Apr_'15,2.89
May_'15,2.87
Jun_'15,2.83
Jul_'15,2.63
Aug_'15,2.81
Sep_'15,2.87
Oct_'15,2.91
Nov_'15,2.93
Dec_'15,2.77
Jan_'16,2.72
Feb_'16,2.66
Mar_'16,2.67
Apr_'16,2.64
May_'16,2.63
Jun_'16,2.68
Jul_'16,2.7
Aug_'16,2.71
Sep_'16,2.76
Oct_'16,2.82
Nov_'16,2.88
Dec_'16,2.8
Jan_'17,2.84
Feb_'17,2.82
Mar_'17,2.96
Apr_'17,2.99
May_'17,3.11
Jun_'17,3.16
Jul_'17,3.2
Aug_'17,3.22
Sep_'17,3.28
Oct_'17,3.36
Nov_'17,3.42
Dec_'17,3.37
Jan_'18,3.41
Feb_'18,3.44
Mar_'18,3.6
Apr_'18,3.65
May_'18,3.7
Jun_'18,3.67
Jul_'18,3.58
Aug_'18,3.53
Sep_'18,3.57
Oct_'18,3.64
Nov_'18,3.64
Dec_'18,3.47
Jan_'19,3.42
Feb_'19,3.34
Mar_'19,3.36
Apr_'19,3.37
May_'19,3.35
Jun_'19,3.27
Jul_'19,3.28
Aug_'19,3.27
Sep_'19,3.36
Oct_'19,3.38
Nov_'19,3.36
Dec_'19,3.2
Jan_'20,3.24
Feb_'20,3.32
Apr_'20,3.13
