Book_Name,Number_of_languages
Elias_Lönnrot_-_Kalevala,55
Mika_Waltari_-_Sinuhe_Egyptiläinen_(Sinuhe_the_Egyptian),40
Sofi_Oksanen_-_Puhdistus_(Purge),38
Aleksis_Kivi_-Seitsemän_veljestä_(Seven_Brothers),34
Arto_Paasilinna_-_Jäniksen_vuosi_(The_Year_of_the_Hare),29
Tove_Jansson_-_Sommarboken_(The_Summer_Book),27
Sofi_Oksanen_-_Kun_kyyhkyset_katosivat_(When_the_Doves_Disappeared),26
Arto_Paasilinna_-_Ulvova_mylläri_(The_Howling_Miller),26
Frans_Emil_Sillanpää_-_Nuorena_nukkunut_(Fallen_Asleep_While_Young),25
Väinö_Linna_-_Tuntematon_sotilas_(The_Unknown_Soldier),24
