Month,Requests_in_millions
Jan_19,356
Mar_18,315
Feb_18,285
Jan_18,328
Dec_17,327
Sep_17,239
Jul_17,236
Jun_17,256
May_17,271
Apr_17,274
Mar_17,298
Feb_17,277
Jan_17,304
Dec_16,351
Nov_16,350
Oct_16,351
Sep_16,310
Aug_16,321
Jul_16,300
Jun_16,290
May_16,273
Apr_16,286
Mar_16,308
Feb_16,298
Jan_16,315
Dec_15,309
Nov_15,310
Oct_15,313
Sep_15,334
Aug_15,278
Jul_15,258
Jun_15,251
May_15,280
Apr_15,275
Mar_15,281
Feb_15,315
Jan_15,352
Dec_14,337
Nov_14,336
Oct_14,320
Sep_14,261
Aug_14,247
Jul_14,237
Jun_14,264
May_14,276
Apr_14,269
Mar_14,322
Feb_14,302
Jan_14,316
