Quarter,Revenue_in_million_U.S._dollars
Q3_'20,936.23
Q2_'20,683.44
Q1_'20,807.64
Q4_'19,1007.43
Q3_'19,823.72
Q2_'19,841.38
Q1_'19,786.89
Q4_'18,908.84
Q3_'18,758.11
Q2_'18,710.54
Q1_'18,664.87
Q4_'17,731.56
Q3_'17,589.63
Q2_'17,573.86
Q1_'17,548.25
Q4_'16,717.21
Q3_'16,615.93
Q2_'16,601.96
Q1_'16,594.52
Q4_'15,710.47
Q3_'15,569.24
Q2_'15,502.38
Q1_'15,435.94
Q4_'14,479.08
Q3_'14,361.27
Q2_'14,312.17
Q1_'14,250.49
Q4_'13,242.68
Q3_'13,168.58
Q2_'13,139.29
Q1_'13,114.34
Q4_'12,112.25
Q3_'12,82.33
Q2_'12,68.05
Q1_'12,54.31
Q4_'11,41.21
Q3_'11,26.42
Q2_'11,20.77
Q1_'11,17.91
