Response,Share_of_respondents
Any_Activity,31.8
Spending_general_leisure_time_at_the_beach,18.8
Coastal_walking,14.4
Outdoor_swimming,11.4
Any_boating_activity,7.3
Canoeing,3.3
Angling,2
Motor_boating_/_cruising,1.1
Small_sail_boat_activities,1
Cliff_climbing,0.9
Canal_Boating,0.8
Yacht_cruising,0.7
Rowing_/_sculling,0.7
Power_boating,0.7
Leisure_sub-aqua_diving,0.7
Water_skiing,0.6
Coasteering,0.6
Using_personal_watercraft,0.5
Small_sail_boat_racing,0.4
Windsurfing,0.2
Yacht_racing,0.2
Kitesurfing,0.1
