state_of_India,Number_of_teachers
Maharastra,172046
Karnataka,127898
Telangana,120017
Andhra_Pradesh,117220
Rajasthan,114947
Tamil_Nadu,83095
Assam,82335
Odisha,82252
Punjab,59967
Madhya_Pradesh,51155
Uttar_Pradesh,48979
Jammu_&_Kashmir,42233
West_Bengal,41759
Bihar,40095
Haryana,37902
Kerala,35461
Jharkhand,28095
Gujarat,23446
Chhattisgarh,19989
Manipur,14678
Himachal_Pradesh,14418
Tripura,10456
Uttarakhand,9949
Delhi,9301
Meghalaya,9002
Nagaland,8994
Goa,6896
Mizoram,4394
Arunachal_Pradesh,3898
Puducherry,3487
Sikkim,2915
Chandigarh,2824
Andaman_&_Nicobar_Islands,992
Dadra_&_Nagar_Haveli,256
Daman_&_Diu,217
Lakshadweep,23
