Response,Share_of_respondents
NHS,31
News_sources/outlets_(e.g._BBC),29
World_Health_Organization,23
Public_Health_England,20
Foreign_&_Commonwealth_Office,15
Medical_websites,11
Airlines_(e.g._via_their_social_media/website/app,11
Health_professional(s),11
Trending_posts_on_social_media,10
Travel_guides/websites_(e.g._Lonely_Planet),7
Travel_agents,6
Booking_websites_(e.g._Booking.com_Expedia),6
Hotels/resorts_(e.g._via_their_social_media/website/app),6
Social_media_influencers,5
Other,2
None_of_the_above,34
