Retail_location,Annual_rent_in_U.S._dollars_per_square_foot
Causeway_Bay_main_street_shops_(Hong_Kong),2745
Upper_5th_Avenue_49th-60th_Sts_(New_York),2250
New_Bond_Street_(London),1714
Avenue_des_Champs-Elysees_(Paris),1478
Via_Montenapoleone_(Milan),1447
Ginza_(Tokyo),1251
Pitt_Street_Mall_(Sydney),1076
Bahnhofstrasse_(Zurich),866
Myeongdong_(Seoul),862
Kohlmarkt_(Vienna),513
Wangfujing_(Beijing),471
Kaufinger/Neuhauser_(Munich),469
Grafton_Street_(Dublin),401
Portal_de_L'Angel_(Barcelona),361
Ermou_(Athens),361
Orchard_Road_(Singapore),312
Kalverstraat_(Amsterdam),301
Na_Prikope_street_(Prague),298
Stoleshnikov_(Moscow),288
Khan_Market_(New_Delhi),243
