Month,Sales_in_billion_U.S._dollars
Sep_'20,8.09
Aug'_20,7.92
Jul_'20,7.71
Jun_'20,7.63
May_'20,7.43
Apr_'20,7.28
Mar_'20,7.37
Feb_'20,7.29
Jan_'20,7.37
Dec_'19,7.49
Nov_'19,7.48
Oct_'19,7.29
Sep_'19,6.73
Aug_'19,6.4
Jul_'19,6.09
Jun_'19,5.89
May_'19,5.92
Apr_'19,5.86
Mar_'19,6.05
Feb_'19,6.36
Jan_'19,7.31
Dec_'18,8.4
Nov_'18,9.58
Oct_'18,9.85
Sep_'18,9.5
Aug_'18,8.83
Jul_'18,8.39
Jun_'18,8.34
May_'18,8.24
Apr_'18,8.16
Mar_'18,8.09
Feb_'18,8.25
Jan_'18,8.63
Dec_'17,8.95
Nov_'17,8.77
Oct_'17,8.54
Sep_'17,8.0
Aug_'17,7.55
Jul_'17,6.94
Jun_'17,6.59
May_'17,6.25
Apr_'17,6.09
Mar_'17,5.96
Feb_'17,5.99
Jan_'17,6.13
Dec_'16,6.33
Nov_'16,6.25
Oct_'16,6.06
Sep_'16,5.68
Aug_'16,5.43
Jul_'16,5.1
Jun_'16,4.94
May_'16,4.79
Apr_'16,4.78
Mar_'16,4.89
Feb_'16,5.03
Jan_'16,5.41
Dec_'15,5.75
Nov_'15,6.07
Oct_'15,6.05
Sep_'15,5.82
Aug_'15,5.58
Jul_'15,5.51
Jun_'15,5.53
May_'!5,5.62
Apr_'15,5.61
Mar_'15,5.81
Feb_'15,6.23
Jan_'15,6.51
Dec_'14,6.73
Nov_'14,6.53
Oct_'14,6.41
Sep_'14,6.06
Aug_'14,5.6
Jul_'14,5.43
Jun_'14,5.27
May_'14,5.09
Apr_'14,5.0
Mar_'14,5.08
Feb_'14,5.32
Jan_'14,5.59
Dec_'13,5.8
Nov_'13,5.87
Oct_'13,5.71
Sep_'13,5.55
Aug_'13,5.15
Jul_'13,5.02
Jun_'13,4.76
May_'13,4.6
Apr_'13,4.36
Mar_'13,4.38
Feb_'13,4.47
Jan_'13,4.78
Dec_'12,4.94
Nov_'12,5.02
Oct_'12,4.79
Sept_'12,4.43
Aug_'12,4.19
Jul_'12,4.14
Jun_'12,4.32
May_'12,4.48
Apr_'12,4.56
Mar_'12,4.46
Febr_'12,4.36
Jan_'12,4.31
