banks,Deal_value_in_billion_U.S._dollars
Santander/Banco_Popular_(2017),8.22
Deutsche_Bank/Deutsche_Postbank_(2011),7.19
CaixaBank/Banca_Civica_(2012),6.13
DZ_Bank/WGZ_Bank_(2016),3.52
Bank_of_Cyprus/Cyprus_Popular_Bank_(2013),3.28
BBVA/Catalunya_Bank_(2015),3.25
Kutxabank/BBK_Kutxa_and_Vital_merger_(2012),3.19
Banco_Sabadell/Banco_Cam_(2012),3.18
Caixabank/BPI_(2017),2.9
Alpha_Bank/Emporiki_Bank_(2013),2.84
Caixabank/Banco_de_Valencia_(2013),2.7
Banco_Popular/Banco_Pastor_(2011),2.62
Banco_de_Sabadell/TSB_Banking_Group_(2015),2.48
Caixabank/Barclays_Bank_Spain_(2014),2.0
Sberbank/Denizbank_(2012),1.93
