Beverage_company,Sales_in_million_U.S._dollars
Anheuser-Busch_InBev,52329
Nestlé_SA,42115
The_Coca-Cola_Co.,37266
PepsiCo_Inc.,30894
Heineken_N.V.,25782
Suntory_Holdings_Ltd.,24225
Diageo_PLC,23815
Starbucks_Corp.,23442
Keurig_Dr_Pepper,11120
Molson_Coors_Brewing_Co.,10579
Pernod_Ricard,9959
Unilever_Group§,9443
Constellation_Brands_Inc.,8884
Red_Bull_GmbH,8163
Abbott§§§,7409
Jacobs_Douwe_Egberts,6800
Bacardi_Ltd.,6348
LVMH_Louis_Vuitton_Moet_Hennessy,6058
E._&_J._Gallo_Winery,5000
Danone_Group^,4937
Ito_En_Group,4725
The_Wonderful_Co.+,4600
Campbell_Soup_Co.§§,4296
Brown-Forman_Corp.,4271
Monster_Beverage_Corp.,4201
Cott_Corp.,2395
Niagara_Bottling_LLC,2311
Mark_Anthony_Group_Inc.++,2271
J._M._Smucker_Co.,2122
Davide_Campari,1997
Britvic_PLC,1917
Treasury_Wine_Estates,1850
C&C_Group_plc,1703
Lassonde_Industries_Inc.,1678
Blue_Diamond_Growers+,1566
D.G._Yuengling_&_Son_Inc.,1560
Glanbia_PLC^^,1476
AriZona_Beverage_Co.,1324
The_Boston_Beer_Co._Inc.,1254
The_Wine_Group,1127
Living_Essentials_LLC,1105
Tata_Consumer_Products_Ltd.,1010
Ocean_Spray_Cranberries_Inc.,996
National_Beverage_Corp.,978
Talking_Rain_Beverage_Co.,971
Vina_Concha_y_Toro_S.A.,930
Trinchero_Family_Estates,900
Peet's_Coffee_Inc.,900
Rockstar_Inc.,851
Ste._Michelle_Wine_Estates,759
