_real_estate_investment_companies_in_Europe_,AUM_in_billion_U.S._dollars
Allianz_(Germany),72.4
APG_(Netherlands),48.38
AXA_(France),36.31
Generali_(Italy),30.2
PGGM_(Netherlands),29.97
Swiss_Life_(Switzerland),29.31
Government_Pension_Fund_Global_(Norway),28.18
Prudential_(UK),22.75
Bayerische_Versorgungskammer_(Germany),20.0
The_Crown_Estate_(UK),17.9
MEAG_Munich_ERGO_(Germany),16.01
Aviva_(UK),14.57
Standard_Life_Aberdeen_(UK),13.15
Zurich_Insurance_Group_(Switzerland),12.13
MN_(Netherlands),10.52
