University,Number_of_students
New_York_University_NY,21093
Northeastern_University_-_Boston_MA,17491
University_of_Southern_California_CA,17309
Columbia_University_NY,17145
University_of_Illinois_-_Urbana-Champaign_IL,13962
Arizona_State_University_-_Tempe_AZ,13136
University_of_California_-_Los_Angeles_CA,11447
University_of_California_-_San_Diego_CA,11272
Purdue_University_-_West_Lafayette_IN,11173
Boston_University_MA,11158
University_of_California_-_Berkeley_CA,10695
Pennsylvania_State_University_-_University_Park_PA,9244
University_of_Washington_WA,9236
University_of_Michigan_-_Ann_Arbor_MI,9000
University_of_Texas_-_Dallas_TX,8787
University_of_California_-_Irvine_CA,8773
Carnegie_Mellon_University_PA,8694
University_of_California_-_Davis_CA,7919
Ohio_State_University_-_Columbus_OH,7894
Cornell_University_-_Ithaca_NY,7623
