UFC_fighter,Total_earnings_in_million_U.S._dollars
Conor_McGregor,15.08
Alistair_Overeem,9.57
Khabib_Nurmagomedov,8.68
Anderson_Silva,8.11
Michael_Bisping,7.14
Georges_St-Pierre,7.04
Jon_Jones,7.03
Mark_Hunt,6.3
Donald_Cerrone,6.16
Junior_dos_Santos,5.97
Daniel_Cormier,5.73
Vitor_Belfort,5.46
Andrei_Arlovski,5.41
Brock_Lesnar,5.08
Nate_Diaz,4.89
Mauricio_‘Shogun’_Rua,4.76
Rashad_Evans,4.74
Lyoto_Machida,4.59
Frankie_Edgar,4.57
Stipe_Miocic,4.49
Dan_Henderson,4.4
Chuck_Liddell,4.38
Ronda_Rousey,4.28
Jose_Aldo,4.23
Tyron_Woodley,4.17
Tito_Ortiz,4.14
Chris_Weidman,3.89
Fabricio_Werdum,3.88
Robbie_Lawler,3.82
Demian_Maia,3.68
