Year,Men,Women
Rio_2016,102.15,115.28
London_2012,100.91,117.23
Beijing_2008,104.65,114.87
Athens_2004,104.45,116.38
Sydney_2000,105.08,116.15
Atlanta_1996,102.58,117.73
Barcelona_1992,103.66,115.54
Seoul_1988,103.55,116.1
Los_Angeles_1984,103.0,117.6
Moscow_1980,105.4,113.5
Montreal_1976,103.5,114.94
Munich_1972,105.86,118.55
Mexico_City_1968,104.3,120.9
Tokyo_1964,105.1,121.1
Rome_1960,106.3,124.3
Melbourne_1956,107.7,0
Helsinki_1952,109.2,0
London_1948,109.2,0
Berlin_1936,112.9,0
Los_Angeles_1932,109.8,0
Amsterdam_1928,111.8,136.8
Paris_1924,112.4,0
Antwerp_1920,113.4,0
Stockholm_1912,111.9,0
London_1908,112.8,0
St._Louis_1904,116.0,0
Paris_1900,121.2,0
Athens_1896,131.0,0
