Quarter,Active_registered_accounts_in_millions
Q3_20,361.0
Q2_20,346.0
Q1_20,325.0
Q4_19,305.0
Q3_19,295.0
Q2_19,286.0
Q1_19,277.0
Q4_18,267.0
Q3_18,254.0
Q2_18,244.0
Q1_18,237.0
Q4_17,229.0
Q3_17,220.0
Q2_17,212.0
Q1_17,205.0
Q4_16,197.0
Q3_16,192.0
Q2_16,188.0
Q1_16,184.0
Q4_15,179.0
Q3_15,173.0
Q2_15,169.0
Q1_15,165.2
Q4_14,161.5
Q3_14,156.9
Q2_14,152.5
Q1_14,148.4
Q4_13,142.6
Q3_13,137.4
Q2_13,132.4
Q1_13,127.7
Q4_12,122.7
Q3_12,117.4
Q2_12,113.2
Q1_12,109.8
Q4_11,106.3
Q3_11,103.0
Q2_11,100.3
Q1_11,97.7
Q4_10,94.4
Q3_10,90.5
Q2_10,87.2
Q1_10,84.3
