Christian_denomination,Median_average_attendance
Roman_Catholic_Church,567
Muslim,250
Church_of_Jesus_Christ_of_Latter-day_Saints,188
Southern_Baptist_Convention,170
Christian_Reformed_Church,160
Other_denominations_/_traditions,150
Reformed_Church_in_America,125
Historically_Black_Denominations,120
Orthodox_Christian,110
Non-denominational,105
Episcopal_Church,104
Lutheran_Church_-_Missouri_Synod,104
Evangelical_Lutheran_Church_in_America,100
Conservative_Judaism,100
Reform_Judaism,95
Assemblies_of_God,89
Mennonite_Church_USA,80
American_Baptist_Churches_USA,80
Unitarian_Universalist_Association,80
Christian_Church_(Disciples_of_Christ),75
Presbyterian_Church_(U.S.A.),70
United_Church_of_Christ,70
Church_of_the_Nazarene,68
United_Methodist_Church,60
Seventh-day_Adventist_Church,55
Baha'is_of_the_United_States,12
