Top_goal_scorer(s),Premier_League,First_Division
2020/21_-_Dominic_Calvert-Lewin_(Everton)_Mohamed_Salah_(Liverpool)_Son_Heung-Min_(Tottenham),11,0
2019/20_-_Jamie_Vardy_(Leicester),23,0
2018/19__-_Pierre-Emerick_Aubameyang_(Arsenal)_Sadio_Mané_Mohamed_Salah_(Liverpool),22,0
2017/18_Mohamed_Salah_(Liverpool),32,0
2016/17_Harry_Kane_(Tottenham),29,0
2015/16_Harry_Kane_(Tottenham),25,0
2014/15_Sergio_Agüero_(Man_City),26,0
2013/14_Luis_Suárez_(Liverpool),31,0
2012/13_Robin_van_Persie_(Man_Utd),26,0
2011/12_Robin_van_Persie_(Arsenal),30,0
2010/11_Dimitar_Berbatov_(Man_Utd)_Carlos_Tevez_(Man_City),20,0
2009/10_Didier_Drogba_(Chelsea),29,0
2008/09Nicolas_Anelka_(Chelsea),19,0
2007/08_Cristiano_Ronaldo_(Man_Utd),31,0
2006/07_Didier_Drogba_(Chelsea),20,0
2005/06_Thierry_Henry_(Arsenal),27,0
2004/05_Thierry_Henry_(Arsenal),25,0
2003/04_Thierry_Henry_(Arsenal),30,0
2002/03_Ruud_van_Nistelrooy_(Man_Utd),25,0
2001/02_Thierry_Henry_(Arsenal),24,0
2000/01_Jimmy_Floyd_Hasselbaink_(Chelsea),23,0
1999/00_Kevin_Phillips_(Sunderland),30,0
1998/99_Jimmy_Floyd_Hasselbaink_(Leeds),18,0
1997/98__-_Dion_Dublin_(Coventry)_Michael_Owen_(Liverpool)_Chris_Sutton_(Blackburn),18,0
1996/97_Alan_Shearer_(Newcastle),25,0
1995/96_Alan_Shearer_(Blackburn),31,0
1994/95_Alan_Shearer_(Blackburn),34,0
1993/94_Andy_Cole_(Man_Utd),34,0
1992/93_Teddy_Sheringham_(Forest/Tottenham),22,0
1991/92_Ian_Wright_(Arsenal/Palace),0,29
1990/91_Alan_Smith_(Arsenal),0,23
1989/90_Gary_Linekar_(Tottenham),0,24
1988/89_Alan_Smith_(Arsenal),0,23
1987/88_John_Aldridge_(Liverpool),0,26
1986/87_Clive_Allen_(Tottenham),0,33
1985/86_Gary_Linekar_(Everton),0,30
1984/85_Kerry_Dixon_(Chelsea)_Gary_Linekar_(Leicester),0,24
1983/84_Ian_Rush_(Liverpool),0,32
1982/83_Luther_Blissett_(Watford),0,27
1981/82_Kevin_Keegan_(Southampton),0,26
1980/81_Peter_Withe_(Aston_Villa)_Steve_Archibald_(Tottenham),0,20
1979/80_Phil_Boyer_(Southampton),0,23
1978/79_Frank_Worthington_(Bolton),0,24
1977/78_Bob_Latchford_(Everton),0,30
1976/77_Malcolm_Macdonald_(Arsenal)_Andy_Gray_(Aston_Villa),0,25
1975/76_Ted_MacDougall_(Norwich),0,23
1974/75_Malcolm_Macdonald_(Newcastle),0,21
1973/74_Mick_Channon_(Southampton),0,21
1972/73_Pop_Robson_(West_Ham),0,28
1971/72_Francis_Lee_(Man_City),0,33
1970/71_Tony_Brown_(West_Brom),0,28
1969/70_Jeff_Astle_(West_Brom),0,25
1968/69_Jimmy_Greaves_(Tottenham),0,27
1967/68_Ron_Davies_(Southampton)_George_Best_(Man_Utd),0,28
1966/67_Ron_Davies_(Southampton),0,37
1965/66_Willie_Irvine_(Burnley),0,29
1964/65_Jimmy_Greaves_(Tottenham)_Andy_McEvoy_(Blackburn),0,29
1963/64_Jimmy_Greaves_(Tottenham),0,35
1962/63_Jimmy_Greaves_(Tottenham),0,37
1961/62_Ray_Crawford_(Ipswich),0,32
1960/61_Jimmy_Greaves_(Chelsea),0,32
1959/60_Dennis_Viollet_(Man_Utd),0,32
1958/59_Jimmy_Greaves_(Chelsea),0,36
1957/58_Bobby_Smith_(Tottenham),0,38
1956/57_John_Charles_(Leeds),0,33
1955/56_Nat_Lofthouse_(Bolton),0,27
1954/55_Ronnie_Allen_(West_Brom),0,29
1953/54_Jimmy_Glazzard_(Huddersfield)_Johnny_Nicholls_(West_Brom),0,29
1952/53_Charlie_Wayman_(Preston),0,24
1951/52_George_Robledo_(Newcastle),0,33
1950/51_Stan_Mortensen_(Blackpool),0,30
1949/50_Dickie_Davis_(Sunderland),0,25
1948/49_Willie_Moir_(Bolton),0,25
1947/48_Ronnie_Rooke_(Arsenal),0,33
1946/47_Dennis_Westcott_(Wolves),0,37
1939/40_-_1945/46_Break_due_to_Second_World_War,0,0
1938/39_Tommy_Lawton_(Everton),0,35
1937/38_Tommy_Lawton_(Everton),0,38
1936/37_Freddie_Steele_(Stoke),0,39
1935/36_W._G._Richardson_(West_Brom),0,31
1934/35_Ted_Drake_(Arsenal),0,42
1933/34_Jack_Bowers_(Derby),0,34
1932/33_Jack_Bowers_(Derby),0,35
1931/32_Dixie_Dean_(Everton),0,44
1930/31_Tom_Waring_(Aston_Villa),0,49
1929/30_Vic_Watson_(West_Ham),0,41
1928/29Dave_Halliday_(Sunderland),0,43
1927/28_Dixie_Dean_(Everton),0,60
1926/27_Jimmy_Trotter_(Sheffield_Wed),0,37
1925/26_Ted_Harper_(Blackburn),0,43
1924/25_Frank_Roberts_(Man_City),0,28
1923/24_Wilf_Chadwick_(Everton),0,28
1922/23_Charlie_Buchan_(Sunderland),0,30
1921/22_Andy_Wilson_(Middlesbrough),0,31
1920/21_Joe_Smith_(Bolton),0,38
1919/20_Fred_Morris_(West_Brom),0,37
1915/16__-_1918/19Break_due_to_First_World_War,0,0
1914/15_Bobby_Parker_(Everton),0,35
1913/14_George_Elliot_(Middlesbrough),0,32
1912/13_David_McClean_(Sheffield_Wed),0,30
1911/12__-_David_McClean_(Sheffield_Wed)_George_Holley_(Sunderland)_Harry_Hampton_(Aston_Villa),0,25
1910/11_Albert_Shepherd_(Newcastle),0,25
1909/10_Jack_Parkinson_(Liverpool),0,30
1908/09_Bert_Freeman_(Everton),0,38
1907/08_Enoch_West_(Forest),0,27
1906/07_Alex_Young_(Everton),0,28
1905/06_Albert_Shepherd_(Bolton),0,26
1904/05_Arthur_Brown_(Sheffield_Utd),0,22
1903/04_Steve_Bloomer_(Derby_County),0,20
1902/03_Sam_Raybould_(Liverpool),0,31
1901/02_Jimmy_Settle_(Everton),0,18
1900/01_Steve_Bloomer_(Derby_County),0,23
1899/00Billy_Garraty_(Aston_Villa),0,27
1898/99_Steve_Bloomer_(Derby_County),0,23
1897/98_Fred_Wheldon_(Aston_Villa),0,21
1896/97_Steve_Bloomer_(Derby_County),0,22
1895/96John_J._Campbell_(Aston_Villa)_Steve_Bloomer_(Derby),0,20
1894/95_Johnny_Campbell_(Sunderland),0,22
1893/94_Jack_Southworth_(Everton),0,27
1892/93_Johnny_Campbell_(Sunderland),0,31
1891/92_Johnny_Campbell_(Sunderland),0,32
1890/91_Jack_Southworth_(Blackburn),0,26
1889/90_Jimmy_Ross_(Preston),0,21
1888/89_John_Goodall_(Preston),0,21
