political_party,Number_of_total_votes
Conservative,6155662
Liberal,5915950
NDP-New_Democratic_Party,2849214
Bloc_Québécois,1376135
Green_Party,1162361
People's_Party,292703
Independent,71854
Christian_Heritage_Party,18816
Parti_Rhinocéros_Party,9567
Libertarian,8281
VCP,6209
ML,4492
Animal_Protection_Party,4407
Communist,4248
Pour_l'Indépendance_du_Québec,3792
No_Affiliation,1766
PC_Party,1556
Radical_Marijuana,852
CFF_-_Canada's_Fourth_Front,700
UPC,612
National_Citizens_Alliance,507
Stop_Climate_Change,296
Nationalist,284
