Country,Number_of_invividuals_with_a_net_worrth_over_one_million_U.S._dollars._in_thousands
United_States,18612.99
China,4446.77
Japan,3025.26
United_Kingdom,2460.2
Germany,2186.98
France,2071.09
Italy,1496.09
Canada,1322.27
Australia,1179.48
Spain,953.79
Netherlands,813.75
Switzerland,787.41
India,726.17
Korea,704.96
Taiwan_(Chinese_Taipei),509.6
Hong_Kong_SAR,493.49
Sweden,359.94
Austria,305.02
Belgium,274.92
Brazil,245.08
Denmark,230.38
Russia,229.95
Singapore,199.35
New_Zealand,181.45
Mexico,166.72
