hedge_fund_firm,Aum_in_billion_U.S._dollars
Bridgewater_Associates,98.92
Renaissance_Technologies,70
Man_Group,62.3
Millennium_Management,43.91
Elliott_Management,42
BlackRock,39.91
Two_Sigma_Investments/Advisers,38.84
Citadel,34.34
D.E._Shaw_Group,34.26
AQR_Capital_Management,32.1
Davidson_Kempner_Capital_Management,31.85
Farallon_Capital_Management,30
Baupost_Group,29.1
Marshall_Wace,27.8
Canyon_Capital,22.8
Wellington_Alternative_Investments,21
Viking_Global_Investors,19.95
J.P._Morgan_Asset_Management,0
H2O_Asset_Management,0
Adage_Capital_Management,0
