government_department,Funds_in_million_U.S._dollars
Department_of_Health_and_Human_Services,18313.19
National_Science_Foundation,4611.32
Department_of_Energy,4025.36
National_Aeronautics_and_Space_Administration,3317.33
Department_of_Defense,2938.3
Department_of_Agriculture,929.0
Department_of_Education,613.46
Department_of_Commerce,347.3
Department_of_Transportation,81.6
Environmental_Protection_Agency,51.7
Department_of_the_Interior,48.4
Agency_for_International_Development,47.5
Department_of_Justice,40.7
Department_of_Homeland_Security,37.8
Other_agencies,9.2
Nuclear_Regulatory_Commission,5.9
Department_of_Housing_and_Urban_Development,1.8
