Month,Price_in_British_pounds_per_kilogram
Nov_'19,8.05
Oct_'19,8.92
Sep_'19,7.53
Aug_'19,7.81
Jul_'19,6.92
Jun_'19,9.63
May_'19,10.72
Nov_'18,12.23
Oct_'18,7.73
Sep_'18,8.18
Aug_'18,8.23
Jul_'18,7.91
Jun_'18,4.7
Nov_'17,11.0
Oct_'17,9.28
Sep_'17,8.1
Aug_'17,8.6
Jul_'17,7.03
Jun_'17,5.79
May_'17,4.69
Dec_'16,9.55
Nov_'16,10.76
Oct_'16,8.45
Sep_'16,7.12
Aug_'16,7.04
Jul_'16,5.56
Jun_'16,5.06
Nov_'15,7.3
Oct_'15,8.82
Sep_'15,7.85
Aug_'15,7.64
Jul_'15,6.65
Jun_'15,6.87
May_'15,7.84
Nov_'14,6.22
Oct_'14,7.43
Sep_'14,5.97
Aug_'14,7.48
Jul_'14,5.8
June_'14,5.09
May_'14,8.64
