industrial_groupings,March,June,July,August,September,October
Manufacture_of_transport_equipment,-52.6,-26.4,-11.5,10,-4.1,5.6
Manufacture_of_textiles_wearing_apparel_leather_and_accessories,-51.2,-26.7,-20.6,-2.8,-20.8,-17.4
Manufacture_of_machinery_and_equipment_n.e.c.,-40.1,-14.4,-7.7,-5.4,-11.9,-5.1
Manufacture_of_basic_metals_and_fabricated_metal_products_except_machinery,-37,-16,-10.5,1,-5.4,-1.9
Manufacture_of_electrical_equipment_and_of_non-electric_domestic_appliances,-35.7,-11.4,-9.7,0,-3.9,4
Other_manufacturing,-34.9,-12.6,-4.4,8.8,0.2,3.5
Total,-29.3,-13.7,-8,-0.3,-5.1,-2.1
Manufacture_of_rubber_plastic_products_and_other_non-metallic_mineral_products,-28.7,-16.4,-7.2,2.8,0,2.8
Mining_and_quarrying,-21.4,1.5,-10.2,-7,2.7,-2.1
Manufacture_of_computer_and_electronic_products,-19.8,-14.5,-4.4,0.5,-0.8,2.2
Manufacture_of_wood_paper_and_printing,-15.5,-10.3,-8.1,-6,-1.6,-2.1
Electricity_gas_steam_and_air_conditioning_supply,-11.1,-5,-5.8,1,2,-1
Manufacture_of_chemical_products,-11,-12.7,-9.2,-5.1,-6.4,-4.4
Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,-9.1,-6.1,-1.4,2.1,-9.1,-7.9
Manufacture_of_coke_and_refined_petroleum_products,-9,-22.9,-21.4,-17,-20.4,-17.4
Manufacture_of_food_products_beverages_and_tobacco,-6.5,-4.7,-0.4,-2,-1,-1
