State,Number_of_congregations
Texas,27848
California,23558
North_Carolina,15737
Florida,15611
Pennsylvania,15359
New_York,14110
Ohio,13606
Illinois,12453
Georgia,12292
Tennessee,11542
Alabama,10514
Virginia,10088
Michigan,9521
Indiana,9061
Missouri,9001
South_Carolina,8051
Kentucky,7745
Oklahoma,7057
Mississippi,6765
Arkansas,6697
New_Jersey,6114
Washington,6114
Wisconsin,6078
Minnesota,5953
Louisiana,5841
Utah,5557
Maryland,5336
Iowa,5107
Kansas,4782
Arizona,4673
West_Virginia,4413
Massachusetts,4200
Colorado,4188
Oregon,4026
Nebraska,2860
Connecticut,2597
New_Mexico,2447
Idaho,2427
South_Dakota,1819
Montana,1778
Maine,1574
North_Dakota,1498
Nevada,1392
Hawaii,1314
Alaska,1246
New_Hampshire,1025
Wyoming,948
Vermont,854
Delaware,831
Rhode_Island,677
District_of_Columbia,609
