war,Number_of_military_deaths
Malaya__(1948-1960),1442
Northern_Ireland_(1969-2007),1441
Korea_(1950-54),1129
Palestine__(1945-48),754
Afghanistan_(2001-present),457
Suez__(1951-54),405
Cyprus__(1955-59),358
Falklands__(1982),237
Iraq__(2003-2011),178
South_Arabia__(1964-67),160
Borneo__(1962-66),140
Kenya_(1952-56),95
Balkans_(1992-present),72
Arabian_Peninsular__(1957-60),60
Yangtze__(1949),45
Gulf__(1990-91),45
Malay_Peninsula__(1964-66),39
Dhofar__(1969-76),25
Berlin_Airlift__(1948-49),25
Near_East/Suez_(1956),24
Radfan__(1964),13
Cyprus_(1964-present),13
Brunei_(1962),7
Air_Operations_Iraq__(1991-2003),7
Rhodesia__(1979-1980),5
Sierra_Leone__(2000-2002),5
Iraq_&_Syria_(2014-present),3
Congo__(1960-64),2
Cambodia__(1991-1993),1
Libya__(2011),1
Malawi_(2019-present),1
