Month,Number_of_cases
Jan_5_2021,2181619
Jan_4_2021,2166244
Jan_3_2021,2155446
Jan_2_2021,2141201
Jan_1_2021,2129376
Dec_31_2020,2107166
Dec_30_2020,2083689
Dec_29_2020,2067487
Dec_28_2020,2056277
Dec_27_2020,2047696
Dec_26_2020,2038783
Dec_25_2020,2028354
Dec_24_2020,2009317
Dec_23_2020,1991278
Dec_22_2020,1977370
Dec_21_2020,1964054
Dec_20_2020,1953185
Dec_19_2020,1938083
Dec_18_2020,1921778
Dec_17_2020,1906377
Dec_16_2020,1888144
Dec_15_2020,1870576
Dec_14_2020,1855737
Dec_13_2020,1843712
Dec_12_2020,1825775
Dec_11_2020,1805873
Dec_10_2020,1787147
Dec_9_2020,1770149
Dec_8_2020,1757394
Dec_7_2020,1742557
Dec_6_2020,1728878
Dec_5_2020,1709991
Dec_4_2020,1688939
Dec_3_2020,1664829
Dec_2_2020,1641610
Dec_1_2020,1620901
Nov_30_2020,1601554
Nov_29_2020,1585178
Nov_28_2020,1564532
Nov_27_2020,1538217
Nov_26_2020,1509875
Nov_25_2020,1480874
Nov_24_2020,1455022
Nov_23_2020,1431795
Nov_22_2020,1408868
Nov_21_2020,1380531
Nov_20_2020,1345767
Nov_19_2020,1308528
Nov_18_2020,1272352
Nov_17_2020,1238072
Nov_16_2020,1205881
Nov_15_2020,1178529
Nov_14_2020,1144552
Nov_13_2020,1107303
Nov_12_2020,1066401
Nov_11_2020,1028424
Nov_10_2020,995463
Nov_9_2020,960373
Nov_8_2020,935104
Nov_7_2020,902490
Nov_6_2020,862681
Nov_5_2020,824879
Nov_4_2020,790377
Nov_3_2020,759829
Nov_2_2020,731588
Nov_1_2020,709335
Oct_31_2020,679430
Oct_30_2020,647674
Oct_29_2020,616595
Oct_28_2020,589766
Oct_27_2020,564778
Oct_26_2020,542789
Oct_25_2020,525782
Oct_24_2020,504509
Oct_23_2020,484869
Oct_22_2020,465726
Oct_21_2020,449648
Oct_20_2020,434449
Oct_19_2020,423578
Oct_18_2020,414241
Oct_17_2020,402536
Oct_16_2020,391611
Oct_15_2020,381602
Oct_14_2020,372799
Oct_13_2020,365467
Oct_12_2020,359569
Oct_11_2020,354950
Oct_10_2020,349494
Oct_9_2020,343770
Oct_8_2020,338398
Oct_7_2020,333940
Oct_6_2020,330263
Oct_5_2020,327586
Oct_4_2020,325329
Oct_3_2020,322751
Oct_2_2020,319908
Oct_1_2020,317409
Sep_30_2020,314861
Sep_29_2020,313011
Sep_28_2020,311364
Sep_27_2020,309870
Sep_26_2020,308104
Sep_25_2020,306235
Sep_24_2020,304323
Sep_23_2020,302537
Sep_22_2020,300897
Sep_21_2020,299506
Sep_20_2020,298156
Sep_19_2020,296569
Sep_18_2020,294932
Sep_17_2020,293025
Sep_16_2020,291442
Sep_15_2020,289990
Sep_14_2020,288761
Sep_13_2020,287753
Sep_12_2020,286297
Sep_11_2020,284796
Sep_10_2020,283180
Sep_9_2020,281583
Sep_8_2020,280153
Sep_7_2020,278784
Sep_6_2020,277634
Sep_5_2020,276337
Sep_4_2020,274644
Sep_3_2020,272912
Sep_2_2020,271515
Sep_1_2020,270189
Aug_31_2020,269214
Aug_30_2020,268218
Aug_29_2020,266853
Aug_28_2020,265409
Aug_27_2020,263949
Aug_26_2020,262540
Aug_25_2020,261174
Aug_24_2020,260298
Aug_23_2020,259345
Aug_22_2020,258136
Aug_21_2020,257065
Aug_20_2020,256118
Aug_19_2020,255278
Aug_18_2020,254636
Aug_17_2020,254235
Aug_16_2020,253915
Aug_15_2020,253438
Aug_14_2020,252809
Aug_13_2020,252235
Aug_12_2020,251713
Aug_11_2020,251237
Aug_10_2020,250825
Aug_9_2020,250566
Aug_8_2020,250103
Aug_7_2020,249756
Aug_6_2020,249204
Aug_5_2020,248803
Aug_4_2020,248419
Aug_3_2020,248229
Aug_2_2020,248070
Aug_1_2020,247832
Jul_31_2020,247537
Jul_30_2020,247158
Jul_29_2020,246776
Jul_28_2020,246488
Jul_27_2020,246286
Jul_26_2020,246118
Jul_25_2020,245864
Jul_24_2020,245590
Jul_23_2020,245338
Jul_22_2020,245032
Jul_21_2020,244752
Jul_20_2020,244624
Jul_19_2020,244434
Jul_18_2020,244216
Jul_17_2020,243967
Jul_16_2020,243736
Jul_15_2020,243506
Jul_14_2020,243344
Jul_13_2020,243230
Jul_12_2020,243061
Jul_11_2020,242827
Jul_10_2020,242639
Jul_9_2020,242363
Jul_8_2020,242149
Jul_7_2020,241956
Jul_6_2020,241819
Jul_5_2020,241611
Jul_4_2020,241419
Jul_3_2020,241184
Jul_2_2020,240961
Jul_1_2020,240760
Jun_30_2020,240578
Jun_29_2020,240436
Jun_28_2020,240310
Jun_27_2020,240136
Jun_26_2020,239961
Jun_25_2020,239706
Jun_24_2020,239410
Jun_23_2020,238833
Jun_22_2020,238720
Jun_21_2020,238499
Jun_20_2020,238275
Jun_19_2020,238011
Jun_18_2020,237760
Jun_17_2020,237429
Jun_16_2020,237101
Jun_15_2020,237290
Jun_14_2020,236989
Jun_13_2020,236651
Jun_12_2020,236305
Jun_11_2020,236142
Jun_10_2020,235763
Jun_9_2020,235561
Jun_8_2020,235278
Jun_7_2020,234998
Jun_6_2020,234801
Jun_5_2020,234531
Jun_4_2020,234013
Jun_3_2020,233836
Jun_2_2020,233515
Jun_1_2020,233197
May_31_2020,232997
May_30_2020,232664
May_29_2020,232248
May_28_2020,231732
May_27_2020,231139
May_26_2020,230555
May_25_2020,230158
May_24_2020,229858
May_23_2020,229327
May_22_2020,228658
May_21_2020,228006
May_20_2020,227364
May_19_2020,226699
May_18_2020,225886
May_17_2020,225435
May_16_2020,224760
May_15_2020,223885
May_14_2020,223096
May_13_2020,222104
May_12_2020,221216
May_11_2020,219814
May_10_2020,219070
May_9_2020,218268
May_8_2020,217185
May_7_2020,215858
May_6_2020,214457
May_5_2020,213031
May_4_2020,211938
May_3_2020,210717
May_2_2020,209328
May_1_2020,205463
Apr_30_2020,205463
Apr_29_2020,203591
Apr_28_2020,201505
Apr_27_2020,199414
Apr_26_2020,197675
Apr_25_2020,195351
Apr_24_2020,192994
Apr_23_2020,189973
Apr_22_2020,187327
Apr_21_2020,183957
Apr_20_2020,181228
Apr_19_2020,178972
Apr_18_2020,175925
Apr_17_2020,172434
Apr_16_2020,168941
Apr_15_2020,165155
Apr_14_2020,162488
Apr_13_2020,159516
Apr_12_2020,156363
Apr_11_2020,152271
Apr_10_2020,147577
Apr_9_2020,143626
Apr_8_2020,139422
Apr_7_2020,135586
Apr_6_2020,132547
Apr_5_2020,128948
Apr_4_2020,124632
Apr_3_2020,119827
Apr_2_2020,115242
Apr_1_2020,110574
Mar_31_2020,105792
Mar_30_2020,101739
Mar_29_2020,97689
Mar_28_2020,92472
Mar_27_2020,86498
Mar_26_2020,80539
Mar_25_2020,74386
Mar_24_2020,69176
Mar_23_2020,63927
Mar_22_2020,59138
Mar_21_2020,53578
Mar_20_2020,47021
Mar_19_2020,41035
Mar_18_2020,35713
Mar_17_2020,31506
Mar_16_2020,27980
Mar_15_2020,24747
Mar_14_2020,21157
Mar_13_2020,17660
Mar_12_2020,15113
Mar_11_2020,12462
Mar_10_2020,10149
Mar_9_2020,9172
Mar_8_2020,7375
Mar_7_2020,5883
Mar_6_2020,4636
Mar_5_2020,3858
Mar_4_2020,3089
Mar_3_2020,2502
Mar_2_2020,2036
Mar_1_2020,1701
Feb_29_2020,1128
Feb_28_2020,889
Feb_27_2020,655
Feb_26_2020,470
Feb_25_2020,323
Feb_24_2020,229
Feb_23_2020,157
Feb_22_2020,79
Feb_21_2020,21
Feb_20_2020,4
Feb_19_2020,3
Feb_18_2020,3
Feb_17_2020,3
Feb_16_2020,3
Feb_15_2020,3
