Agency,Revenue_2019_(in_million_euros),Change_on_2018_(in_percent),Number_of_employees_2019
Reply_-_Digital_Experience,138.53,27.1,958
PIA_Group,114.14,47.8,915
Plan.Net_Gruppe,101.5,3.5,988
team_neusta,92.04,0,1099
diva-e,78.29,7.3,702
Valtech_GmbH,72.31,-1.6,478
C3_Creative_Code_and_Content_GmbH,63.81,20.1,488
mgm_technology_partner,57.22,3.9,405
]init[_AG,54.33,32.5,592
fischerAppelt_AG,49.65,34.2,387
SYZYGY_AG,48.49,5.8,450
Digitas_Pixelpark,47.52,0,476
intive,39.71,75.4,251
TWT_Digital_Group,36.43,3.1,360
Dept,32.77,1,398
Sybit_GmbH,28.52,20.6,183
AOE_GmbH,28.39,0,183
Namics_[Deutschland]_GmbH__-_A_Merkle_Company,26.5,-10.8,237
pilot_Agenturgruppe,25.22,9.2,193
EWERK__GROUP,24.56,25.8,205
dotSource_GmbH,22.97,42.3,254
ARITHNEA,21.49,-3.4,235
Ray_Sono_AG,20.49,-3.4,220
ressourcenmangel,20.08,12.4,223
Experience_One,19.4,4.3,166
denkwerk_GmbH,18.6,-7,192
achtung!_GmbH,17.81,45.5,185
Saint_Elmo`s,17.18,-7.3,172
neuland_-_Büro_für_Informatik_GmbH,17.06,-1.1,115
Mindcurv_GmbH,16.25,33.6,210
