volcanic_eruption_and_date,Number_of_victims
Volcanic_eruption_in_the_Philippines_(June_9_1991),1036065
Volcano_eruption_in_Ecuador_(August_14_2015),800000
Volcanic_eruption_in_Nicaragua_(April_9_1992),300075
Volcano_eruption_in_Ecuador_(August_14_2006),300013
Volcano_eruption_in_Indonesia_(April_5_1982),300000
Volcano_eruption_in_Indonesia_(1969),250000
Volcanic_eruption_in_Comoros_(November_24_2005),245000
Volcanic_eruption_in_the_Philippines_(Feb._6_1993),165009
Volcanic_eruption_in_Papua_New_Guinea_(September_19_1994),152002
Volcanic_eruption_in_Indonesia_(October_24_2002),137140
