Films,Audience_in_million_viewers
Titanic(J._Cameron_1998_US),21.78
Bienvenue_chez_les_Ch'tis(D._Boon_2008_FR),20.44
Intouchables(E._Tolédano_O._Nakache_2011_FR),19.51
La_Grande_Vadrouille(G._Oury_1966_FR/GB),17.33
Gone_with_the_wind(V._Fleming_1950_US),16.73
C'era_una_volta_il_West(S._Leone_1969_IT),14.88
Avatar(J._Cameron_2009_US),14.78
The_Jungle_Book(W._Reitherman_1968_US),14.78
One_Hundred_and_One_Dalmatians(W._Disney_1961_US),14.7
Astérix_et_Obélix_:_mission_Cléopâtre(A._Chabat_2002_FR),14.41
The_Ten_Commandments(C.B._DeMille_1958_US),14.24
Ben_Hur(W._Wyler_1960_US),13.86
Les_Visiteurs(J.M._Poiré_1993_FR),13.67
The_Bridge_on_the_River_Kwai(D._Lean_1957_GB),13.48
Cinderella(W.Disney_1950_US),13.27
