Company,Net_profit_in_million_NOK
Telenor_ASA,23621.0
Telenor_Norge_AS,6324.0
Telia_Norge_AS,2446.0
Canal_Digital_AS,581.0
Telenor_Satellite_AS,351.0
Kongsberg_Satellite_Services_AS,265.0
Norkring_AS,236.0
Tempnet_AS,164.0
Fugro_Norway_AS,160.0
Telenor_Global_Services_AS,90.0
Nextgentel_Holding_ASA,87.0
Powertech_Information_Systems_AS,78.2
Eltel_Networks_AS,50.0
Airbus_Defence_And_Space_AS,47.9
Telenor_Svalbard_AS,38.4
Inmarsat_Solutions_AS,36.7
Jotron_AS,34.8
Viasat_AS,22.4
Altifiber_AS,22.3
Fiberworks_AS,20.5
