Month,Number_of_cases
Jan_6_2021,145590
Jan_5_2021,144583
Jan_4_2021,143464
Jan_3_2021,142187
Jan_2_2021,140878
Jan_1_2021,139471
Dec_31_2020,138062
Dec_30_2020,136644
Dec_29_2020,135233
Dec_28_2020,133900
Dec_27_2020,132541
Dec_26_2020,131315
Dec_25_2020,130126
Dec_24_2020,128993
Dec_23_2020,127972
Dec_22_2020,127061
Dec_21_2020,126273
Dec_20_2020,125555
Dec_19_2020,124891
Dec_18_2020,124280
Dec_17_2020,123701
Dec_16_2020,123153
Dec_15_2020,122609
Dec_14_2020,122086
Dec_13_2020,121575
Dec_12_2020,121089
Dec_11_2020,120611
Dec_10_2020,120147
Dec_9_2020,119702
Dec_8_2020,119281
Dec_7_2020,118847
Dec_6_2020,118432
Dec_5_2020,118014
Dec_4_2020,117583
Dec_3_2020,117156
Dec_2_2020,116724
Dec_1_2020,116303
Nov_30_2020,115911
Nov_29_2020,115541
Nov_28_2020,115183
Nov_27_2020,114832
Nov_26_2020,114475
Nov_25_2020,114107
Nov_24_2020,113742
Nov_23_2020,113381
Nov_22_2020,113027
Nov_21_2020,112676
Nov_20_2020,112318
Nov_19_2020,111955
Nov_18_2020,111613
Nov_17_2020,111284
Nov_16_2020,111009
Nov_15_2020,110767
Nov_14_2020,110547
Nov_13_2020,110319
Nov_12_2020,110095
Nov_11_2020,109881
Nov_10_2020,109654
Nov_9_2020,109422
Nov_8_2020,109201
Nov_7_2020,108962
Nov_6_2020,108754
Nov_5_2020,108530
Nov_4_2020,108329
Nov_3_2020,108122
Nov_2_2020,107925
Nov_1_2020,107736
Oct_31_2020,107555
Oct_30_2020,107376
Oct_29_2020,107209
Oct_28_2020,107030
Oct_27_2020,106877
Oct_26_2020,106707
Oct_25_2020,106540
Oct_24_2020,106397
Oct_23_2020,106230
Oct_22_2020,106060
Oct_21_2020,105883
Oct_20_2020,105705
Oct_19_2020,105547
Oct_18_2020,105424
Oct_17_2020,105297
Oct_16_2020,105159
Oct_15_2020,105033
Oct_14_2020,104915
Oct_13_2020,104787
Oct_12_2020,104648
Oct_11_2020,104516
Oct_10_2020,104387
Oct_9_2020,104262
Oct_8_2020,104156
Oct_7_2020,104035
Oct_6_2020,103902
Oct_5_2020,103781
Oct_4_2020,103683
Oct_3_2020,103575
Oct_2_2020,103466
Oct_1_2020,103317
Sep_30_2020,103198
Sep_29_2020,103079
Sep_28_2020,102955
Sep_27_2020,102840
Sep_26_2020,102736
Sep_25_2020,102625
Sep_24_2020,102513
Sep_23_2020,102375
Sep_22_2020,102254
Sep_21_2020,102141
Sep_20_2020,102015
Sep_19_2020,101900
Sep_18_2020,101772
Sep_17_2020,101641
Sep_16_2020,101500
Sep_15_2020,101340
Sep_14_2020,101177
Sep_13_2020,101009
Sep_12_2020,100856
Sep_11_2020,100708
Sep_10_2020,100557
Sep_9_2020,100403
Sep_8_2020,100228
Sep_7_2020,100041
Sep_6_2020,99863
Sep_5_2020,99712
Sep_4_2020,99582
Sep_3_2020,99425
Sep_2_2020,99280
Sep_1_2020,99115
Aug_31_2020,98939
Aug_30_2020,98727
Aug_29_2020,98497
Aug_28_2020,98285
Aug_27_2020,98062
Aug_26_2020,97825
Aug_25_2020,97619
Aug_24_2020,97478
Aug_23_2020,97340
Aug_22_2020,97237
Aug_21_2020,97148
Aug_20_2020,97025
Aug_19_2020,96914
Aug_18_2020,96753
Aug_17_2020,96590
Aug_16_2020,96475
Aug_15_2020,96336
Aug_14_2020,96220
Aug_13_2020,96108
Aug_12_2020,95963
Aug_11_2020,95834
Aug_10_2020,95666
Aug_9_2020,95492
Aug_8_2020,95314
Aug_7_2020,95147
Aug_6_2020,95006
Aug_5_2020,94875
Aug_4_2020,94752
Aug_3_2020,94640
Aug_2_2020,94483
Aug_1_2020,94316
Jul_31_2020,94078
Jul_30_2020,93757
Jul_29_2020,93356
Jul_28_2020,92947
Jul_27_2020,92482
Jul_26_2020,92062
Jul_25_2020,91583
Jul_24_2020,91072
Jul_23_2020,90413
Jul_22_2020,89745
Jul_21_2020,89078
Jul_20._2020,88402
Jul_19_2020,87775
Jul_18_2020,87172
Jul_17_2020,86474
Jul_16_2020,85771
Jul_15_2020,84843
Jul_14_2020,83930
Jul_13_2020,83001
Jul_12_2020,82070
Jul_11_2020,81158
Jul_10_2020,80235
Jul_09_2020,79254
Jul_08_2020,78304
Jul_07_2020,77279
Jul_06_2020,76222
Jul_05_2020,75253
Jul_04_2020,74035
Jul_03_2020,72711
Jul_02_2020,71299
Jul_01_2020,69814
Jun_30_2020,68311
Jun_29_2020,66754
Jun_28_2020,65188
Jun_27_2020,63923
Jun_26_2020,62755
Jun_25_2020,61130
Jun_24_2020,59561
Jun_23_2020,58141
Jun_22_2020,56809
Jun_21_2020,55233
Jun_20_2020,53758
Jun_19_2020,52211
Jun_18_2020,50437
Jun_17_2020,49219
Jun_16_2020,47856
Jun_15_2020,46289
Jun_14_2020,44598
Jun_13_2020,42980
Jun_12_2020,41303
Jun_11_2020,39726
Jun_10_2020,38284
Jun_09_2020,36829
Jun_08_2020,35444
Jun_07_2020,34079
Jun_06_2020,32612
Jun_05_2020,31115
Jun_04_2020,29767
Jun_03_2020,28615
Jun_02_2020,27536
Jun_01_2020,26384
May_31_2020,24985
May_30_2020,23449
May_29_2020,22082
May_28_2020,20793
May_27_2020,19666
May_26_2020,18756
May_25_2020,17967
May_24_2020,17265
May_23_2020,16513
May_22_2020,15786
May_21_2020,15003
May_20_2020,14229
May_19_2020,13484
May_18_2020,12764
May_17_2020,12229
May_16_2020,11719
May_15_2020,11228
May_14_2020,10829
May_13_2020,10431
May_12_2020,10093
May_11_2020,9746
May_10_2020,9400
May_09_2020,8964
May_08_2020,8476
May_07_2020,7981
May_06_2020,7588
May_05_2020,7201
May_04_2020,6813
May_03_2020,6465
May_02_2020,6193
