Month,Number_of_individuals_in_thousands
Dec_18,106941
Dec_8,108269
Dec_1,109259
Nov_27,108989
Nov_17,106700
Nov_10,101200
Oct_30,99400
Oct_20,100393
Oct_12,101504
Oct_6,103469
Sep_29,105289
Sep_22,106300
Sep_15,108342
Sep_8,112011
Sep_1,116761
Aug_25,122229
Aug_18,130142
Aug_11,140040
Jul_31,139838
Jun_30,135988
Jun_23,143111
Jun_16,151470
Jun_9,160203
Jun_2,171439
May_29,181469
May_19,198587
May_12,218054
May_5,245989
Apr_30,269013
Apr_21,286895
Apr_7,291055
Mar_31,300634
Mar_24,291000
Mar_17,149165
Mar10,65344
Mar_3,65683
