season,Total_attendance_in_thousands
Winter_X_Games_2020_(Aspen_CO),111.5
Winter_X_Games_2019_(Aspen_CO),117.0
Winter_X_Games_2018_(Aspen_CO),115.0
Winter_X_Games_2017_(Aspen_CO),105.0
Winter_X_Games_2016_(Aspen_CO),102.6
Winter_X_Games_2015_(Aspen_CO),115.5
Winter_X_Games_2014_(Aspen_CO),116.6
Winter_X_Games_2013_(Aspen_CO),114.5
Winter_X_Games_2012_(Aspen_CO),108.0
Winter_X_Games_2011_(Aspen_CO),114.2
Winter_X_Games_2010_(Aspen_CO),81.4
Winter_X_Games_2009_(Aspen_CO),68.1
Winter_X_Games_2008_(Aspen_CO),72.5
Winter_X_Games_2007_(Aspen_CO),76.15
Winter_X_Games_2006_(Aspen_CO),69.65
Winter_X_Games_2005_(Aspen_CO),66.75
Winter_X_Games_2004_(Aspen_CO),66.5
Winter_X_Games_2003_(Aspen_CO),48.7
Winter_X_Games_2002_(Aspen_CO),36.3
Winter_X_Games_2001_(Mount_Snow_VT),85.1
Winter_X_Games_2000_(Mount_Snow_VT),83.5
Winter_X_Games_1999_(Crested_Butte_CO),23.5
Winter_X_Games_1998_(Crested_Butte_CO),25.5
Winter_X_Games_1997_(Big_Bear_Lake_CA),29.8
