Song_(first_performance/release_date),Number_of_tracks_on_Spotify
Silent_Night_(1818),26496
White_Christmas_(1940),20721
Jingle_Bells_(1857),19080
The_Christmas_Song_(1944),13208
The_First_Noel_(1833),12476
Wintern_Wonderland_(1934),12196
Santa_Claus_Is_Coming_To_Town_(1934),12085
Have_Yourelf_a_Merry_Little_Christmas_(1943),11714
Joy_To_The_World_(1836),11395
Away_In_A_Manger_(1887),10074
God_Rest_Ye_Merry_Gentlemen_(1827),9988
Hark_the_Herald_Angels_Sing_(1840),9864
O_Holy_Night_(1847),9730
I’ll_Be_Home_for_Christmas_(1943),9318
Deck_the_Halls_(1800),9146
O_Little_Town_of_Bethlehem_(1868),9001
Rudolph_the_Red-Nosed_Reindeer_(1939),8947
Silver_Bells_(1950),8451
It_Came_Upon_the_Midnight_Clear_(1850),8291
Ave_Maria_(1850),8195
O_Come_All_Ye_Faithful_(1751),8159
Sleigh_Ride_(1948),7684
We_Wish_You_a_Merry_Christmas_(1500),7491
What_Child_Is_This?_(1865),7443
Blue_Christmas_(1964),6964
