Response,Traditional_agencies_with_$3m_to_$10m_revenue,Traditional_agencies_with_$10m_plus_revenue,"Home-based_agents_with_$250,000_plus_revenue"
Familiarization_trips,58,51,65
Educational_programs,48,55,56
Email_updates_on_special_offers,51,39,46
Overrides_/_incentives,57,68,49
Agent_portion_of_websites,34,30,39
Consumer_referrals,20,33,30
Co-op_marketing_efforts,29,38,19
Co-op_advertising,34,23,14
Trade_publication_offers,12,11,13
Mail_updates_on_special_offers,10,8,12
Social_media_co-op,7,13,8
