Quarter,Calls_&_lines,Broadband_&_TV,Other_(incl._eliminations)
Q4_2017,700,560,29
Q3_2017,701,531,29
Q2_2017,701,534,26
Q1_2017,700,534,21
Q4_2016,688,531,27
Q3_2016,698,535,29
Q2_2016,697,527,27
Q1_2016,661,489,25
Q4_2015,672,495,28
Q3_2015,678,497,33
Q2_2015,650,452,27
Q1_2015,644,405,25
Q4_2014,657,414,29
Q3_2014,648,403,32
Q2_2014,641,387,28
Q1_2014,641,377,28
Q4_2013,659,377,32
Q3_2013,633,351,30
Q2_2013,633,330,24
Q1_2013,626,300,24
Q4_2012,650,305,27
Q3_2012,637,288,28
Q2_2012,642,281,29
Q1_2012,661,276,22
Q4_2011,692,269,19
Q3_2011,700,256,29
Q2_2011,697,253,31
Q1_2011,708,246,25
