Month,Units_sold
Dec_19,2357
Nov_19,1963
Oct_19,1287
Sep_19,4300
Aug_19,1031
Jul_19,1445
Jun_19,2935
May_19,2647
Apr_19,2060
Mar_19,7443
Feb_19,1008
Jan_19,2475
Dec_18,1890
Nov_18,2237
Oct_18,1778
Sep_18,2470
Aug_18,811
Jul_18,1366
Jun_18,2000
May_18,2516
Apr_18,1919
Mar_18,4013
Feb_18,1048
Jan_18,2121
Dec_17,983
Nov_17,1466
Oct_17,1625
Sep_17,4459
Aug_17,769
Jul_17,1460
Jun_17,2845
May_17,1939
Apr_17,1397
Mar_17,5773
Feb_17,439
Jan_17,1994
Dec_16,1891
Nov_16,1405
Oct_16,2280
Sep_16,5247
Aug_16,845
Jul_16,1386
