Title_(release_date),Revenue_in_thousand_U.S._dollars
Fallout_4_VR_(December_2017),4731.12
Arizona_Sunshine_(December_2016),4721.4
Raw_Data_(October_2017),4283.32
Tilt_Brush_(April_2016),4025.36
Job_Simulator_(October_2016),3416.94
Audioshield_(April_2016),2803.64
SUPERHOT_VR_(July_2017),2561.48
Onward_(August_2016),2409.38
Space_Pirate_Trainer_(October_2017),2372.87
Rick_and_Morty:_Virtual_Rick-ality_(April_2017),1839.9
Hot_Dogs_Horsehoes_&_Hand_Grenades_(April_2016),1557.58
Gorn_(July_2017),1392.08
