Platform,Penetration_rate_among_Android_users
Gmail,96.12
Maps_-_Navigate_&_Explore,94.85
YouTube,94.58
Google,94.03
Hangouts,87.06
Google+_for_G_Suite,77.24
Facebook,74.54
Google_Chrome:_Fast_&_Secure,69.37
WhatsApp_Messenger,52.25
Google_News:_Top_World_&_Local_News_Headlines,43.77
Messenger_–_Text_and_Video_Chat_for_Free,43.48
Samsung_My_Files,43.2
Google_Drive,41.33
Samsung_Music,37.31
Clean_Master_-_Antivirus_Applock_&_Cleaner,34.31
Dropbox,33.59
Skype_-_free_IM_&_video_calls,28.73
Twitter,27.11
Flipboard_-_Latest_News_Top_Stories_&_Lifestyle,22.76
Subway_Surfers,22.61
