university,Number_of_students
National_Open_University_of_Nigeria,470761
University_of_Lagos,59257
University_of_Ilorin,52497
Ahmadu_Bello_University_Zaria,48953
University_of_Maiduguri,48160
University_of_Nigeria_Nsukka,47171
University_of_Benin,46110
Michael_Okpara_University_of_Agricultural,45350
Bayero_University_Kano,43780
Nnamdi_Azikiwe_University_Awka,40342
University_of_Port-Harcourt,40335
Nasarawa_State_University_Keffi,34310
University_of_Abuja_Gwagwalada,33552
Ambrose_Alli_University_Ekpoma,33484
University_of_Calabar,33343
Olabisi_Onabanjo_University_Ago_Iwoye,31712
Obafemi_Awolowo_University_Ile-Ife,29334
Benue_State_University_Makurdi,26060
Ladoke_Akintola_University_of_Technology_Ogbomoso,25118
Lagos_State_University_Ojo,25100
Ebonyi_State_University_Abakaliki,25000
University_of_Ibadan,24479
University_of_Uyo,23873
Abia_State_University_Uturu,23295
Imo_State_University_Owerri,23282
Modibbo_Adama_University_of_Technology_Yola,22838
Ekiti_State_University,22612
Federal_University_of_Technology_Owerri,22475
Usmanu_Danfodiyo_University,21964
Delta_State_University_Abraka,21291
Adekunle_Ajasin_University_Akungba,20644
Federal_University_of_Technology_Minna,20620
Tai_Solarin_University_of_Education_Ijebu_Ode,20295
Enugu_State_University_of_Science_and_Technology_Enugu,20059
