Major_industry,Change_in_employment_in_thousands
Health_care_and_social_assistance,3396.1
Professional_and_business_services,1662.4
Leisure_and_hospitality,1556.4
Construction,807.5
Nonagriculture_self-employed,529.4
Educational_services,473.5
Transportation_and_warehousing,322.3
Financial_activities,280.6
State_and_local_government,251.0
Other_services,94.3
Mining,44.6
Agriculture_wage_and_salary,40.0
Information,5.6
Utilities,-17.4
Agriculture_self-employed,-29.4
Wholesale_trade,-98.5
Federal_government,-125.8
Retail_trade,-153.7
Manufacturing,-640.7
