fiscal_quarter,Revenue_in_billion_U.S._dollars
2Q_'20,4.28
1Q_'20,4.5
4Q_'19,3.83
3Q_'19,4.42
2Q_'19,5.07
1Q_'19,4.54
4Q_'18,3.59
3Q_'18,4.03
2Q_'18,4.36
1Q_'18,4.09
4Q_'17,3.48
3Q_'17,3.97
2Q_'17,4.18
1Q_'17,3.74
4Q_'16,3.37
3Q_'16,3.55
2Q_'16,3.91
1Q_'16,3.51
4Q_'15,3.18
3Q_'15,3.45
2Q_'15,3.72
1Q_'15,3.37
4Q_'14,3.41
3Q_'14,3.58
2Q_'14,4.38
1Q_'14,3.71
4Q_'13,2.56
3Q_'13,2.67
2Q_'13,2.87
1Q_'13,2.53
4Q_'12,2.65
3Q_'12,2.58
2Q_'12,2.59
1Q_'12,2.28
4Q_'11,2.68
3Q_'11,2.43
2Q_'11,2.52
1Q_'11,2.35
