Industry,Real_value_added_in_billion_chained_(2012)_U.S._dollars
Finance_insurance_real_estate_rental_and_leasing,38.88
Manufacturing,30.06
Government_and_government_enterprises,19.16
Agriculture_forestry_fishing_and_hunting,13.37
Educational_services_health_care_and_social_assistance,13.02
Professional_and_business_services,12.09
Wholesale_trade,9.99
Retail_trade,9.65
Construction,5.96
Transportation_and_warehousing,5.34
Information,5.3
Arts_entertainment_recreation_accommodation_and_food_services,4.55
Utilities,2.9
Mining_quarrying_and_oil_and_gas_extraction,0.46
