Country,GDP_in_billion_U.S._dollars
Brazil,1839.8
Mexico,1258.3
Argentina,449.7
Colombia,323.8
Chile,282.3
Peru,226.8
Ecuador,107.4
Puerto_Rico,105.0
Dominican_Republic,88.9
Guatemala,76.7
Panama,66.8
Costa_Rica,61.8
Uruguay,56.0
Bolivia,40.9
Paraguay,38.1
El_Salvador,27.0
Honduras,25.1
Trinidad_and_Tobago,24.1
Jamaica,16.5
Bahamas,12.8
Nicaragua,12.5
Haiti,8.5
Barbados,5.2
Guyana,4.3
Suriname,4.0
St._Lucia,2.1
Belize,1.9
Antigua_and_Barbuda,1.7
Grenada,1.2
St._Kitts_and_Nevis,1.1
St._Vincent_and_the_Grenadines,0.8
Dominica,0.6
