place_of_contraction,Number_of_cases
Marion_Correctional_Institution_—_Marion_Ohio,2197
Pickaway_Correctional_Institution_—_Scioto_Township_Ohio,1644
Smithfield_Foods_pork_processing_facility_—_Sioux_Falls_S.D.,1033
Aboard_the_U.S.S._Theodore_Roosevelt_—_Guam,856
Cook_County_jail_—_Chicago_Ill.,812
Cummins_Unit_prison_—_Grady_Ark.,695
Lakeland_Correctional_Facility_—_Coldwater_Mich.,673
Bledsoe_County_Correctional_Complex_—_Pikeville_Tenn.,576
Neuse_Correctional_Institution_—_Goldsboro_N.C.,457
Harris_County_jail_—_Houston_Texas,267
Parnall_Correctional_Facility_—_Jackson_Mich.,240
JBS_USA_meatpacking_plant_—_Grand_Island_Neb.,230
Louisiana_Correctional_Institute_for_Women_—_St._Gabriel_La.,198
Stateville_Correctional_Center_—_Crest_Hill_Ill.,196
Franklin_Medical_Center_prison_hospital_—_Columbus_Ohio,181
Tyson_Foods_meatpacking_plant_—_Waterloo_Iowa,180
Soldiers'_Home_—_Holyoke_Mass.,179
Paramus_Veterans_Memorial_Home_—_Paramus_N.J.,171
Tyson_Foods_meatpacking_plant_—_Columbus_Junction_Iowa,166
Lincoln_Park_Care_Center_—_Lincoln_Park_N.J.,163
Gallatin_Center_for_Rehabilitation_and_Healing_—_Gallatin_Tenn.,162
Westville_Correctional_Facility_—_Westville_Ind.,154
Hackensack_Meridian_Health_nursing_home_—_West_Caldwell_N.J.,151
JBS_pork_production_facility_—_Worthington_Minn.,151
Sterling_Correctional_Facility_—_Sterling_Colo.,148
Andover_Subacute_and_Rehabilitation_Center_II_—_Andover_N.J.,144
George_Beto_Unit_prison_—_Tennessee_Colony_Texas,143
Redwood_Springs_nursing_home_—_Visalia_Calif.,137
Canterbury_Rehabilitation_and_Healthcare_Center_—_Henrico_Va.,128
LM_Wind_Power_factory_—_Grand_Forks_N.D.,128
Life_Care_Center_—_Kirkland_Wash.,128
Riverbend_Post_Acute_Rehabilitation_—_Kansas_City_Kan.,128
Ludeman_Developmental_Center_—_Park_Forest_Ill.,126
Lansing_Correctional_Facility_—_Lansing_Kan.,123
Northern_State_Prison_—_Newark_N.J.,121
