Response,United_Kingdom,United_States,China
Avoid_crowded_public_places,14,27,85
Wear_a_face_mask_when_in_public_places,1,7,85
Avoid_going_to_work_(e.g._by_working_from_home),2,3,67
Avoid_consumption_of_raw_or_uncooked_meat,6,13,61
Stop_sending_children_to_child_care_or_school,0,1,18
Improve_personal_hygiene_(e.g._washing_hands_frequently_using_hand_sanitizer),35,42,84
Refrain_from_touching_objects_in_public_(e.g._using_objects_to_press_elevator_buttons),14,24,70
Avoid_physical_contact_with_tourists,9,17,58
Other,2,3,1
None_of_the_above,54,36,1
Not_applicable_-_I_am_not_aware_of_the_Coronavirus_(COVID-19),3,7,4
