diagnosis,15-24,25-44,45-64,65-74,75+
Fracture_of_femur,14,82,656,1158,5217
Fracture_of_lower_leg_and_ankle,268,693,1234,592,722
Fracture_of_forearm,169,355,984,622,854
Other_and_unspecified_injuries_of_head,94,242,614,407,1249
Open_wound_of_head,69,176,527,415,1157
Fracture_of_shoulder_and_upper_arm,41,124,488,417,1048
Injury_poisoning_&_certain_other_consequences_of_external_causes,45,168,379,287,992
Fracture_of_lumbar_spine_and_pelvis,30,63,207,256,1247
Intracranial_injury,39,105,229,233,631
Fracture_of_ribs_sternum_and_thoracic_spine,9,59,249,217,555
