Month,Number_of_patients
December_4,449
December_3,533
December_2,500
December_1,372
November_30,311
November_29,418
November_28,561
November_27,570
November_26,481
November_25,401
November_24,186
November_23,314
November_22,391
November_21,539
November_20,522
November_19,533
November_18,485
November_17,298
November_16,180
November_15,255
November_14,352
November_13,374
November_12,393
November_11,317
November_10,293
November_9,157
November_8,189
November_7,294
November_6,242
November_5,269
November_4,122
November_3,209
November_2,87
November_1,116
October_31,215
October_30,204
October_29,221
October_28,171
October_27,158
October_26,102
October_25,124
October_24,203
October_23,186
October_22,185
October_21,150
October_20,139
October_19,78
October_18,132
October_17,235
October_16,184
October_15,284
October_14,177
October_13,166
October_12,78
October_11,146
October_10,248
October_9,203
October_8,248
October_7,142
October_6,177
October_5,66
October_4,108
October_3,207
October_2,196
October_1,235
September_30,194
September_29,212
September_28,78
September_27,144
September_26,269
September_25,195
September_24,195
September_23,59
September_22,88
September_21,98
September_20,162
September_19,218
September_18,220
September_17,171
September_16,163
September_15,191
September_14,80
September_13,146
September_12,226
September_11,187
September_10,276
September_9,149
September_8,170
September_7,77
September_6,116
September_5,181
September_4,136
September_3,211
September_2,141
September_1,170
August_31,100
August_30,148
August_29,247
August_28,226
August_27,250
August_26,236
August_25,182
August_24,95
August_23,212
August_22,256
August_21,258
August_20,339
August_19,186
August_18,207
August_17,161
August_16,260
August_15,385
August_14,389
August_13,206
August_12,222
August_11,188
August_10,197
August_9,331
August_8,429
August_7,462
August_6,360
August_5,263
August_4,309
August_3,258
August_2,292
August_1,472
July_31,463
July_30,367
July_29,250
July_28,266
July_27,131
July_26,239
July_25,295
July_24,260
July_23,366
July_22,238
July_21,237
July_20,168
July_19,188
July_18,290
July_17,293
July_16,286
July_15,165
July_14,143
July_13,119
July_12,206
July_11,206
July_10,243
July_9,224
July_8,75
July_7,106
July_6,102
July_5,111
July_4,131
July_3,124
July_2,107
July_1,67
June_30,54
June_29,58
June_28,60
June_27,57
June_26,54
June_25,48
June_24,55
June_23,31
June_22,29
June_21,35
June_20,39
June_19,35
June_18,41
June_17,16
June_16,27
June_15,48
June_14,47
June_13,24
June_12,25
June_11,22
June_10,18
June_9,12
June_8,13
June_7,14
June_6,26
June_5,20
June_4,28
June_3,12
June_2,34
June_1,13
May_31,5
May_30,14
May_29,22
May_28,15
May_27,11
May_26,10
May_25,8
May_24,14
May_23,2
May_22,3
May_21,11
May_20,5
May_19,5
May_18,10
May_17,2
May_16,7
May_15,10
May_14,30
May_13,10
May_12,28
May_11,15
May_10,22
May_9,36
May_8,39
May_7,23
May_6,38
May_5,58
May_4,87
May_3,91
May_2,158
May_1,165
April_30,46
April_29,47
April_28,112
April_27,39
April_26,72
April_25,103
April_24,161
April_23,134
April_22,132
April_21,123
April_20,102
April_19,107
April_18,181
April_17,201
April_16,148
April_15,126
April_14,161
April_13,91
April_12,166
April_11,197
April_10,188
April_9,178
April_8,144
April_7,79
April_6,83
April_5,143
April_4,116
April_3,89
April_2,97
April_1,66
March_31,78
March_30,13
March_29,68
March_28,63
March_27,40
March_26,47
March_25,41
March_24,17
March_23,16
March_22,2
March_21,7
March_20,11
March_19,7
March_18,9
March_17,12
March_15,3
March_14,10
March_13,2
March_12,2
March_11,6
March_10,3
March_7,6
March_6,6
March_5,8
March_4,4
March_3,1
March_1,2
February_29,1
February_27,1
February_26,3
February_24,3
February_22,1
February_21,3
February_19,3
February_18,3
February_16,5
February_15,8
February_14,2
February_13,1
January_30,1
January_25,1
January_24,1
