State,Ethanol_consumption_in_thousand_gallons
Alabama,8039
Alaska,1687
Arizona,13300
Arkansas,4390
California,81206
Colorado,13587
Connecticut,7260
Delaware,2853
District_of_Columbia,2248
Florida,47092
Georgia,16359
Hawaii,3135
Idaho,4146
Illinois,25167
Indiana,11786
Iowa,6196
Kansas,4547
Kentucky,7208
Louisiana,9709
Maine,3272
Maryland,10405
Massachusetts,14954
Michigan,19722
Minnesota,12818
Mississippi,5306
Missouri,12698
Montana,2744
Nebraska,3356
Nevada,8542
New_Hampshire,5432
New_Jersey,17460
New_Mexico,3902
New_York,36279
North_Carolina,18651
North_Dakota,1951
Ohio,19675
Oklahoma,5924
Oregon,9616
Pennsylvania,25225
Rhode_Island,2372
South_Carolina,9136
South_Dakota,1685
Tennessee,12006
Texas,51815
Utah,3281
Vermont,1650
Virginia,15093
Washington,13870
West_Virginia,2653
Wisconsin,14178
Wyoming,1311
