president,Height_in_centimeters_(cm)
Abraham_Lincoln,193
Lyndon_B._Johnson,192
Donald_Trump_,191
Thomas_Jefferson,189
Chester_A._Arthur,188
Bill_Clinton,188
George_Washington,188
Franklin_D._Roosevelt,188
George_H._W._Bush,188
Andrew_Jackson,185
Ronald_Raegan,185
John_F_Kennedy,185
Barack_Obama,185
James_Monroe,183
John_Tyler,183
Gerald_Ford,183
Warren_G._Harding,183
James_Buchanan,183
James_A._Garfield,183
Joe_Biden,182
George_W._Bush,182
William_Howard_Taft,182
Herbert_Hoover,182
Richard_Nixon,182
Woodrow_Wilson,180
Grover_Cleveland,180
Presidential_average,180
Dwight_D._Eisenhower,179
Calvin_Coolidge,178
Franklin_Pierce,178
Andrew_Johnson,178
Theodore_Roosevelt,178
Jimmy_Carter,177
US_male_average_height,175
Harry_S._Truman,175
Millard_Fillmore,175
Rutherford_B._Hayes,174
Zachary_Taylor,173
William_Henry_Harrison,173
Ulysses_S._Grant_,173
James_K._Polk,173
John_Quincy_Adams,171
William_McKinley,170
John_Adams,170
Benjamin_Harrison,168
Martin_Van_Buren,168
James_Madison,163
