Country,%_of_voting_age_population,%_of_registered_voters
Iceland_(2017),nan,81.20%
Japan_(2017),nan,53.65%
Turkey_(2018)*,88.97%,86.24%
Sweden_(2018),82.08%,87.18%
Australia_(2019)*,80.79%,91.89%
Belgium_(2019)*,77.94%,88.38%
South_Korea_(2017),77.92%,77.23%
Israel_(2020),77.90%,71.52%
Netherlands_(2017),77.31%,81.93%
Denmark_(2019),76.38%,84.60%
Hungary_(2018),71.65%,69.68%
Norway_(2017),70.59%,78.22%
Finland_(2019),69.43%,68.73%
Germany_(2017),69.11%,76.15%
France_(2017),67.93%,74.56%
Mexico_(2018)*,65.98%,63.43%
Poland_(2020),65.40%,68.18%
Slovakia_(2020),65.39%,65.81%
Italy_(2018),65.28%,73.05%
Austria_(2019),64.40%,75.59%
Greece_(2019)*,63.53%,57.78%
New_Zealand_(2020),63.16%,68.35%
Canada_(2019),62.42%,67.04%
United_Kingdom_(2019),62.32%,67.86%
Portugal_(2019),61.13%,48.60%
Spain_(2019),60.29%,66.23%
Lithuania_(2019),59.28%,53.88%
Czech_Republic_(2017),58.02%,60.79%
Colombia_(2018),57.28%,53.38%
Ireland_(2020),56.65%,62.71%
Estonia_(2019),56.45%,63.67%
United_States_(2016),55.72%,86.80%
Slovenia_(2018),54.58%,52.64%
Latvia_(2018),53.55%,54.56%
Chile_(2017),52.20%,49.02%
Luxembourg_(2018)*,48.16%,89.66%
Switzerland_(2019)*,36.06%,45.12%
