Month,Infected,Cured,Deaths
Mar_1,3,0,0
Mar_2,3,0,0
Mar_3,5,0,0
Mar_4,5,0,0
Mar_5,8,0,0
Mar_6,19,0,0
Mar_7,26,0,0
Mar_8,32,0,0
Mar_9,38,0,0
Mar_10,63,0,0
Mar_11,94,0,0
Mar_12,116,0,0
Mar_13,141,0,0
Mar_14,189,0,0
Mar_15,298,0,0
Mar_16,344,3,0
Mar_17,434,3,0
Mar_18,560,3,0
Mar_19,765,3,0
Mar_20,889,4,0
Mar_21,1047,6,0
Mar_22,1161,6,0
Mar_23,1236,6,1
Mar_24,1394,10,3
Mar_25,1654,10,6
Mar_26,1925,10,9
Mar_27,2279,11,9
Mar_28,2631,11,11
Mar_29,2805,11,16
Mar_30,2956,25,23
Mar_31,3257,45,31
Apr_1,3508,61,39
Apr_2,3805,67,44
Apr_3,4091,72,53
Apr_4,4362,78,59
Apr_5,4543,96,67
Apr_6,4735,121,78
Apr_7,4944,172,88
Apr_8,5221,233,99
Apr_9,5467,301,112
Apr_10,5674,346,119
Apr_11,5831,411,129
Apr_12,5952,464,138
Apr_13,6022,519,143
Apr_14,6111,642,161
Apr_15,6216,819,166
Apr_16,6359,972,169
Apr_17,6499,1174,173
Apr_18,6606,1227,181
Apr_19,6701,1298,186
Apr_20,6838,1559,194
Apr_21,6961,1753,201
Apr_22,7087,1989,208
Apr_23,7138,2152,210
Apr_24,7236,2371,214
Apr_25,7333,2453,218
Apr_26,7387,2545,220
Apr_27,7431,2826,222
Apr_28,7486,2942,225
Apr_29,7563,3096,227
Apr_30,7642,3281,235
May_1,7726,3359,240
May_2,7750,3446,245
May_3,7764,3584,245
May_4,7799,3786,251
May_5,7841,3816,252
May_6,7933,4202,262
May_7,8002,4369,269
May_8,8065,4408,271
May_9,8089,4446,276
May_10,8106,4466,279
May_11,8157,4695,281
May_12,8198,4865,282
May_13,8240,5043,288
May_14,8330,5227,292
May_15,8374,5379,295
May_16,8436,5422,296
May_17,8460,5435,297
May_18,8527,5633,297
May_19,8630,5725,302
May_20,8698,5818,304
May_21,8743,5922,306
May_22,8770,6019,312
May_23,8853,6038,314
May_24,8932,6063,315
May_25,8972,6180,317
May_26,9034,6263,317
May_27,9069,6361,317
May_28,9134,6457,318
May_29,9180,6498,319
May_30,9226,6532,319
May_31,9257,6551,320
Jun_1,9286,6642,321
Jun_2,9334,6681,323
Jun_3,9414,6748,325
Jun_4,9478,6808,325
Jun_5,9520,6880,327
Jun_6,9546,6884,327
Jun_7,9609,6890,327
Jun_8,9670,6979,328
Jun_9,9728,7052,328
Jun_10,9787,7111,328
Jun_11,9826,7124,328
Jun_12,9887,7170,329
Jun_14,9999,7219,329
Jun_15,10027,7245,330
Jun_16,10066,7300,330
Jun_17,10154,7399,333
Jun_18,10230,7436,334
Jun_19,10361,7472,335
Jun_20,10429,7477,336
Jun_21,10448,7477,336
Jun_22,10523,7537,336
Jun_23,10619,7555,339
Jun_24,10728,7588,343
Jun_25,10830,7649,345
Jun_26,10923,7664,346
Jun_29,11604,7710,348
Jun_30,11895,7770,348
Jul_1,11960,7776,348
Jul_3,12248,7848,348
Jul_6,12515,7864,348
Jul_9,12919,8128,352
Jul_13,13174,8246,352
Jul_20,13945,8760,359
Jul_27,15421,11314,373
Aug_3,16800,11605,384
Aug_10,18355,12785,390
Aug_14,19574,13731,393
Aug_24,22056,16342,415
Aug_30,24367,17547,423
Sep_7,28156,19053,436
Oct_12,117110,56203,987
Oct_20,181962,74908,1513
Oct_21,193946,79108,1619
Oct_22,208915,83136,1739
Oct_23,231146,91589,1941
Oct_27,268370,103220,2365
Oct_28,297013,119373,2675
Oct_29,310068,128628,2862
Nov_3,362985,185180,3913
Nov_4,378716,199763,4133
Nov_5,391945,214272,4330
Nov_9,414828,243129,4858
Nov_12,438805,285241,5570
Nov_13,446675,300719,5755
Nov_16,462121,328019,6370
Nov_17,465523,341249,6416
Nov_19,475284,367574,6740
Nov_20,481755,379380,6874
